MRGPRD,NM_198923
MRGPRF,NM_145015
MRGPRG,NM_001164377
MRGPRX1,NM_147199
MRGPRX2,NM_054030
MRGPRX3,NM_054031
MRGPRX4,NM_054032
MTNR1A,NM_005958
MTNR1B,NM_005959
NMBR,NM_002511
NMUR1,NM_006056
NMUR2,NM_020167
NPBWR1,NM_005285
NPBWR2,NM_005286
NPFFR1,NM_022146
NPSR1,NM_207172
NTSR1,NM_002531
NTSR2,NM_012344
OPN3,NM_014322
OPN5,NM_181744
OPRD1,NM_000911
OR51E1,NM_152430
P2RY1,NM_002563
P2RY10,NM_014499
P2RY11,NM_002566
P2RY12,NM_022788
P2RY13,NM_176894
P2RY14,NM_014879
P2RY2,NM_002564
P2RY4,NM_002565
P2RY6,NM_001277208
P2RY8,NM_178129
PRLHR,NM_004248
PROKR1,NM_138964
PROKR2,XM_017027646
PTAFR,NM_000952
PTGDR,NM_000953
PTGDR2,nm_004778
PTGER1,NM_000955
PTGER2,NM_000956
PTGER4,NM_000958
PTGFR,NM_000959
PTGIR,NM_000960
PTH1R,NM_000316
PTH2R,NM_005048
QRFPR,NM_198179
RXFP1,NM_021634
RXFP2,NM_130806
RXFP3,NM_016568
RXFP4,NM_181885
S1PR1,NM_001400
S1PR2,NM_004230
S1PR3,NM_005226
S1PR4,NM_003775
S1PR5,NM_030760
SCTR,NM_002980
SMO,NM_005631
SSTR1,NM_001049
SSTR2,NM_001050
SSTR3,NM_001051
SSTR4,NM_001052
SSTR5,NM_001053
SUCNR1,NM_033050
TAAR1,NM_138327
TAAR2,NM_001033080
TAAR4,nr_028511
TAAR5,NM_003967
TAAR6,NM_175067
TAAR8,NM_053278
TAS1R1,NM_138697
TAS1R2,NM_152232
TAS1R3,NM_152228
TAS2R1,NM_019599
TAS2R10,NM_023921
TAS2R13,NM_023920
TAS2R14,NM_023922
TAS2R16,NM_016945
TAS2R19,NM_176888
TAS2R20,NM_176889
TAS2R3,NM_016943
TAS2R30,NM_001097643
TAS2R31,NM_176885
TAS2R38,NM_176817
TAS2R39,NM_176881
TAS2R4,NM_016944
TAS2R40,NM_176882
TAS2R41,NM_176883
TAS2R42,NM_181429
TAS2R43,NM_176884
TAS2R46,NM_176887
TAS2R5,NM_018980
TAS2R50,NM_176890
TAS2R60,NM_177437
TAS2R7,NM_023919
TAS2R8,NM_023918
TAS2R9,NM_023917
TBXA2R,NM_001060
TPRA1,NM_001136053
TRHR,NM_003301
TSHR,NM_000369
UTS2R,NM_018949
VIPR1,NM_004624
VIPR2,NM_003382
